province,country,lat,long,date,confirmed,deaths,recovered
,Montenegro,42.5,19.3,4/25/2020,320,6,153
,Morocco,31.7917,-7.0926,4/25/2020,3897,159,537
,Namibia,-22.9576,18.4904,4/25/2020,16,0,7
,Nepal,28.1667,84.25,4/25/2020,49,0,12
Aruba,Netherlands,12.5186,-70.0358,4/25/2020,100,2,69
Curacao,Netherlands,12.1696,-68.99,4/25/2020,16,1,11
Sint Maarten,Netherlands,18.0425,-63.0548,4/25/2020,73,12,22
,Netherlands,52.1326,5.2913,4/25/2020,37190,4409,0
,New Zealand,-40.9006,174.886,4/25/2020,1470,18,1142
,Nicaragua,12.8654,-85.2072,4/25/2020,12,3,7
,Niger,17.6078,8.0817,4/25/2020,684,27,325
,Nigeria,9.082,8.6753,4/25/2020,1182,35,222
,North Macedonia,41.6086,21.7453,4/25/2020,1367,59,374
,Norway,60.472,8.4689,4/25/2020,7499,201,32
,Oman,21,57,4/25/2020,1905,10,329
,Pakistan,30.3753,69.3451,4/25/2020,12723,269,2866
,Panama,8.538,-80.7821,4/25/2020,5538,159,338
,Papua New Guinea,-6.315,143.9555,4/25/2020,8,0,0
,Paraguay,-23.4425,-58.4438,4/25/2020,228,9,85
,Peru,-9.19,-75.0152,4/25/2020,25331,700,7797
,Philippines,13,122,4/25/2020,7294,494,792
,Poland,51.9194,19.1451,4/25/2020,11273,524,2126
,Portugal,39.3999,-8.2245,4/25/2020,23392,880,1277
,Qatar,25.3548,51.1839,4/25/2020,9358,10,929
,Romania,45.9432,24.9668,4/25/2020,10635,601,2890
,Russia,60,90,4/25/2020,74588,681,6250
,Rwanda,-1.9403,29.8739,4/25/2020,183,0,88
,Saint Lucia,13.9094,-60.9789,4/25/2020,15,0,15
,Saint Vincent and the Grenadines,12.9843,-61.2872,4/25/2020,14,0,5
,San Marino,43.9424,12.4578,4/25/2020,513,40,64
,Saudi Arabia,24,45,4/25/2020,16299,136,2215
,Senegal,14.4974,-14.4524,4/25/2020,614,7,276
,Serbia,44.0165,21.0059,4/25/2020,7779,151,1152
,Seychelles,-4.6796,55.492,4/25/2020,11,0,6
,Singapore,1.2833,103.8333,4/25/2020,12693,12,1002
,Slovakia,48.669,19.699,4/25/2020,1373,17,386
,Slovenia,46.1512,14.9955,4/25/2020,1388,81,219
,Somalia,5.1521,46.1996,4/25/2020,390,18,8
,South Africa,-30.5595,22.9375,4/25/2020,4361,86,1473
,Spain,40,-4,4/25/2020,205905,22902,95708
,Sri Lanka,7,81,4/25/2020,460,7,118
,Sudan,12.8628,30.2176,4/25/2020,213,17,19
